Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name
Netherlands,,Christoffel,"Beekman, Nicolaas"
Netherlands,,Christoffel,"Houwen, Jacobus van (a) Have"
Netherlands,,Christoffel,"Verheggen, Pieter"
Netherlands,,Christoffel,"Verheggen, Pieter"
Netherlands,,Christoffel,"Verheggen, Pieter"
Netherlands,,Christoffel,"Vos, Jan de"
Netherlands,,Clasina Petronella,"Commin, Gerrit"
Netherlands,,Clasina Petronella,"Castelijn, Johan"
Netherlands,,Clasina Petronella,"Rencken, Hendrik"
Netherlands,,Cornelia,"Belendorp, Jacob"
Netherlands,1790-02-16T00:00:00Z,Cornelia,"Riese, Andries Lodewijk"
Netherlands,,Digna Johanna,"Ende, Jacobus van den"
Netherlands,1769-06-15T00:00:00Z,Digna Johanna,"Ende, Jacobus van den"
Netherlands,1769-06-15T00:00:00Z,Digna Johanna,"Schreuder, A"
Netherlands,,Dirk en Apolonia,"Barends, Hans"
Netherlands,,Dirk en Apolonia,"Barends, Hans"
Netherlands,,Dirk en Apolonia,"Barends, Hans"
Netherlands,,Dirk en Apolonia,"Barends, Hans"
Netherlands,,Dirk en Apolonia,"Barends, Hans"
Netherlands,,Dirk en Apolonia,"Bakker, Johannes"
Netherlands,1748-06-04T00:00:00Z,Dolfijn,"Taylor, David Jacobs"
Netherlands,,Dolfijn,"Taylor, David Jacobs"
Netherlands,,Dolfijn,"Taylor, David Jacobs"
Netherlands,,Dolfijn,"Taylor, David Jacobs"
Netherlands,,Dolfijn,"Taylor, David Jacobs"
Netherlands,,Dolfijn,"Taylor, David Jacobs"
Netherlands,1758-07-20T00:00:00Z,Dolfijn,"Taylor, David Jacobs"
Netherlands,1758-07-20T00:00:00Z,Dolfijn,"Taylor, R J"
Netherlands,1758-07-20T00:00:00Z,Dolfijn,"Beekman, Nicolaas"
Netherlands,,Domburg,"Bevers, Anthony"
Netherlands,1749-02-12T00:00:00Z,Domburg,"Danquart, Willem"
Netherlands,1756-04-17T00:00:00Z,Drie Gezusters,"Stam, Maarten"
Netherlands,,Drie Gezusters,"Santleven, Hendrik"
Netherlands,,Drie Gezusters,"Heelen, Hendrik J"
Netherlands,,Drie Gebroeders,"Smit, Leijn de"
Netherlands,,Drie Gebroeders,"Smit, Leijn de"
Netherlands,,Drie Gebroeders,"Krul, Jochem"
Netherlands,,Duinvliet,
Netherlands,,Duinvliet,"Lindenberg, Jurriaan"
Netherlands,1781-04-19T00:00:00Z,Eendracht,"Udemans, Pieter Gideon"
Netherlands,,Eenhoorn,"Walthey, Anthony"
Netherlands,1762-05-08T00:00:00Z,Enigheid,"Menkenveld, Jan"
Netherlands,1764-10-29T00:00:00Z,Enigheid,"Pruijmelaar, Daniel"
Netherlands,1767-03-18T00:00:00Z,Enigheid,"Molder, Willem de"
Netherlands,1781-07-02T00:00:00Z,Eensgezindheid,"Baas, Isaac den"
Netherlands,,Eerste Edele,"Lafayolle, Pieter"
Netherlands,1754-06-24T00:00:00Z,Eerste Edele,"Lafayolle, Pieter"
Netherlands,,Eerste Edele,"Sap, Adriaan"
Netherlands,,Eerste Edele,"Sap, Adriaan"
Netherlands,1773-07-25T00:00:00Z,Elisabeth,"Harmel, Jan"
Netherlands,,Elisabeth,"Harmel, Jan"
Netherlands,,Elisabeth,"Jansen, Jurgen"
Netherlands,,Elisabeth Sophia,"Bremer, Carel"
Netherlands,1767-07-20T00:00:00Z,Elisabeth Sophia,"Bremer, Carel"
Netherlands,1769-09-27T00:00:00Z,Elisabeth Sophia,"Bremer, Carel"
Netherlands,1791-04-30T00:00:00Z,Elisabeth,"Muller, Daniel"
Netherlands,1785-10-24T00:00:00Z,Epaminondas,"Rudolfus, Servas"
Netherlands,,Essequeebse Vriendschap,"Park, Mathijs"
Netherlands,,Françoise en Catharina,"Groot, Michiel de"
Netherlands,,Frans Willem,"Joosen, Frederik"
Netherlands,,Frans Willem,"Joosen, Frederik"
Netherlands,,Frans Willem,"Sluijs, Jan van der"
Netherlands,,Frans Willem,"Sluijs, Jan van der"
Netherlands,1764-04-29T00:00:00Z,Frans Willem,"Sluijs, Jan van der"
Netherlands,,Frans Willem,"Harmel, Jan"
Netherlands,,Prinses Frederica Sophia Wilhelmina,"Smit, Leijn de"
Netherlands,,Prinses Frederica Sophia Wilhelmina,"Bekker, Fred A"
Netherlands,,Prinses Frederica Sophia Wilhelmina,"Bekker, Fred A"
Netherlands,,Geertruid en Elisabeth,"Cornelisse, Simon"
Netherlands,1756-03-17T00:00:00Z,Geertruid en Elisabeth,"Cornelisse, Simon"
Netherlands,,Geertruid en Elisabeth,"Cornelisse, Simon"
Netherlands,,Geertruid en Elisabeth,"Cornelisse, Simon"
Netherlands,,Geertruid en Elisabeth,"Deijnoot, Jasper"
Netherlands,,Geertruid en Elisabeth,"Deijnoot, Jasper"
Netherlands,,Geertruida,"Daniels, Abraham"
Netherlands,,Geertruida,"Castelijn, Johan"
Netherlands,1759-04-10T00:00:00Z,Geertruida,"Castelijn, Johannes"
Netherlands,1761-02-14T00:00:00Z,Geertruida,"Castelijn, Johan"
Netherlands,,Geertruida,"Boer, Cornelis de"
Netherlands,,Geertruida en Christina,"Jacobse, Adriaan"
Netherlands,,Geertruida en Christina,"Drijber, Willem"
Netherlands,1770-10-20T00:00:00Z,Geertruida en Christina,"Bakker, Johannes"
Netherlands,1772-07-08T00:00:00Z,Geertruida en Christina,"Drijber, Willem"
Netherlands,1775-05-18T00:00:00Z,Geertruida en Christina,"Noordhoek, Johannes"
Netherlands,1777-08-23T00:00:00Z,Geertruida en Christina,"Bakker, Johannes"
Netherlands,1785-04-29T00:00:00Z,Geertruida en Christina,"Kakom, Cornelis van"
Netherlands,1732-02-12T00:00:00Z,Genoveva Maria,"Cornelissen, J"
Netherlands,,Genoveva Maria,
Netherlands,,Genoveva Maria,
Netherlands,,Genoveva Maria,"Kluijters, Jacob"
Netherlands,,Genoveva Maria,
Netherlands,,Genoveva Maria,"Kluijters, Jacob"
Netherlands,,Genoveva Maria,"Kluijters, Jacob"
Netherlands,,Genoveva Maria,"Kluijters, Jacob"
Netherlands,,Genoveva Maria,"Gerritsen, Job"
Netherlands,,Genoveva Maria,"Gerritsen, Job"
Netherlands,,Gezegend Suikerriet,"Schrijver, Jan Daniel"
Netherlands,,Gezegend Suikerriet,"Bergh, Dirk van den"
Netherlands,,Gezegend Suikerriet,"Rust, Jonas"
Netherlands,,Gezegend Suikerriet,"Rust, Jonas"
Netherlands,,Gezegend Suikerriet,"Rust, Jonas"
Netherlands,,Gezegend Suikerriet,"Lagerboom, Pieter"
Netherlands,,Gezegend Suikerriet,"Lagerboom, Pieter"
Netherlands,,Gezegend Suikerriet,"Lagerboom, Pieter"
Netherlands,1756-02-18T00:00:00Z,Goed Succes,"Westerdaal, Coert"
Netherlands,1791-04-23T00:00:00Z,Goed Voornemen,"Tol, Casper"
Netherlands,1793-05-23T00:00:00Z,Goed Voornemen,"Tol, Casper"
Netherlands,1787-08-10T00:00:00Z,Goede Hoop,"Muijen, Cornelis van"
Netherlands,1790-04-22T00:00:00Z,Goede Hoop,"Muijen, Cornelis van"
Netherlands,,Goede Verwachting,"Steen, Jan van der"
Netherlands,,Goede Verwachting,"Churchill, Edward"
Netherlands,,Granadier,"Loo, Jan van der"
Netherlands,,Granadier,"Loo, Jan van der"
Netherlands,,Granadier,"Jansen, Roelof"
Netherlands,,Granadier,"Solomons, Jan"
Netherlands,1749-10-10T00:00:00Z,Granadier,"Steenhof, Albert"
Netherlands,,Granadier,"Kerkhoven, Jan van"
Netherlands,1787-02-27T00:00:00Z,Stad Groningen,"Tol, Casper"
Netherlands,1742-09-14T00:00:00Z,Groot Prooijen,"Jansen, Willem"
Netherlands,1744-08-03T00:00:00Z,Groot Prooijen,"Bonrepo, Gideon de"
Netherlands,,Groot Prooijen,"Rien, Hendrik van"
Netherlands,1741-04-13T00:00:00Z,Guinese Galei,"Bonrepo, Gideon de"
Netherlands,,Guinese Vrienden,"Meijer"
Netherlands,,Guinese Vrienden,"Rulle, A"
Netherlands,,Guinese Vriendschap,"Grim, Jan"
