,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name
83,Netherlands,,Cornelia,"Belendorp, Jacob"
84,Netherlands,1790-02-16T00:00:00Z,Cornelia,"Riese, Andries Lodewijk"
85,Netherlands,,Digna Johanna,"Ende, Jacobus van den"
86,Netherlands,1769-06-15T00:00:00Z,Digna Johanna,"Ende, Jacobus van den<br/> Schreuder, A"
87,Netherlands,,Dirk en Apolonia,"Barends, Hans"
88,Netherlands,,Dirk en Apolonia,"Barends, Hans"
89,Netherlands,,Dirk en Apolonia,"Barends, Hans"
90,Netherlands,,Dirk en Apolonia,"Barends, Hans"
91,Netherlands,,Dirk en Apolonia,"Barends, Hans"
92,Netherlands,,Dirk en Apolonia,"Bakker, Johannes"
93,Netherlands,1748-06-04T00:00:00Z,Dolfijn,"Taylor, David Jacobs"
94,Netherlands,,Dolfijn,"Taylor, David Jacobs"
95,Netherlands,,Dolfijn,"Taylor, David Jacobs"
96,Netherlands,,Dolfijn,"Taylor, David Jacobs"
97,Netherlands,,Dolfijn,"Taylor, David Jacobs"
98,Netherlands,,Dolfijn,"Taylor, David Jacobs"
99,Netherlands,1758-07-20T00:00:00Z,Dolfijn,"Taylor, David Jacobs<br/> Taylor, R J<br/> Beekman, Nicolaas"
100,Netherlands,,Domburg,"Bevers, Anthony"
101,Netherlands,1749-02-12T00:00:00Z,Domburg,"Danquart, Willem"
102,Netherlands,1756-04-17T00:00:00Z,Drie Gezusters,"Stam, Maarten"
103,Netherlands,,Drie Gezusters,"Santleven, Hendrik<br/> Heelen, Hendrik J"
104,Netherlands,,Drie Gebroeders,"Smit, Leijn de"
105,Netherlands,,Drie Gebroeders,"Smit, Leijn de"
106,Netherlands,,Drie Gebroeders,"Krul, Jochem"
107,Netherlands,,Duinvliet,
108,Netherlands,,Duinvliet,"Lindenberg, Jurriaan"
109,Netherlands,1781-04-19T00:00:00Z,Eendracht,"Udemans, Pieter Gideon"
110,Netherlands,,Eenhoorn,"Walthey, Anthony"
111,Netherlands,1762-05-08T00:00:00Z,Enigheid,"Menkenveld, Jan"
112,Netherlands,1764-10-29T00:00:00Z,Enigheid,"Pruijmelaar, Daniel"
113,Netherlands,1767-03-18T00:00:00Z,Enigheid,"Molder, Willem de"
114,Netherlands,1781-07-02T00:00:00Z,Eensgezindheid,"Baas, Isaac den"
