,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name,Reordered Captain's name respelled,Original Captain's name,Vessel name corrected,Original Vessel name
77,Netherlands,1789-01-06T00:00:00Z,Aurora,"Noordhoek, Jacobus", Jacobus Noordhoek,,,
78,Netherlands,1789-01-06T00:00:00Z,Aurora,"Makins, George", George Makins,,,
79,Netherlands,,Avontuur,"Boer, Cornelis den", Cornelis den Boer,,,
80,Netherlands,1786-11-04T00:00:00Z,Avonturier,"Valk, Barend de", Barend de Valk,,,
81,Netherlands,,Baskensburg,"Vos, Hendrik de", Hendrik de Vos,,,
82,Netherlands,,Belisarius,"Boer, Adriaan den", Adriaan den Boer,,,
83,Netherlands,1792-07-04T00:00:00Z,Brandenburg,"Gerritsen, Alexander", Alexander Gerritsen,,,
84,Netherlands,,Carolina Medioburgensis,"Bouwens, Jan", Jan Bouwens,,,
85,Netherlands,1765-07-14T00:00:00Z,Carolina Medioburgensis,"Bouwens, Jacob", Jacob Bouwens,,,
86,Netherlands,,Carolina Medioburgensis,"Bouwens, Jan", Jan Bouwens,,,
87,Netherlands,,Carolina Medioburgensis,"Bouwens, Jan", Jan Bouwens,,,
88,Netherlands,,Carolina Medioburgensis,"Bouwens, Jan", Jan Bouwens,,,
89,Netherlands,,Carolina Medioburgensis,"Bouwens, Jan", Jan Bouwens,,,
90,Netherlands,,Carolina Medioburgensis,"Prins, P W", P W Prins,,,
91,Netherlands,,Kasteel Souburg,"Fraser, David", David Fraser,,,
92,Netherlands,1742-12-15T00:00:00Z,Catharina Galei,"Graan, Andries", Andries Graan,,,
93,Netherlands,1748-03-01T00:00:00Z,Catharina Galei,"Pietersz, Jan", Jan Pietersz,,,
94,Netherlands,1748-03-01T00:00:00Z,Catharina Galei,"Servijn, Christoffel", Christoffel Servijn,,,
95,Netherlands,1748-03-01T00:00:00Z,Catharina Galei,"Bruijn, Jacob de", Jacob de Bruijn,,,
96,Netherlands,,Christoffel,"Beekman, Nicolaas", Nicolaas Beekman,,,
97,Netherlands,,Christoffel,"Beekman, Nicolaas", Nicolaas Beekman,,,
98,Netherlands,,Christoffel,"Houwen, Jacobus van (a) Have", Jacobus van Houwen,Have,,
99,Netherlands,,Christoffel,"Verheggen, Pieter", Pieter Verheggen,,,
100,Netherlands,,Christoffel,"Verheggen, Pieter", Pieter Verheggen,,,
101,Netherlands,,Christoffel,"Verheggen, Pieter", Pieter Verheggen,,,
102,Netherlands,,Christoffel,"Vos, Jan de", Jan de Vos,,,
103,Netherlands,,Clasina Petronella,"Commin, Gerrit", Gerrit Commin,,,
104,Netherlands,,Clasina Petronella,"Castelijn, Johan", Johan Castelijn,,,
105,Netherlands,,Clasina Petronella,"Rencken, Hendrik", Hendrik Rencken,,,
106,Netherlands,,Cornelia,"Belendorp, Jacob", Jacob Belendorp,,,
107,Netherlands,1790-02-16T00:00:00Z,Cornelia,"Riese, Andries Lodewijk", Andries Lodewijk Riese,,,
108,Netherlands,,Digna Johanna,"Ende, Jacobus van den", Jacobus van den Ende,,,
109,Netherlands,1769-06-15T00:00:00Z,Digna Johanna,"Ende, Jacobus van den", Jacobus van den Ende,,,
110,Netherlands,1769-06-15T00:00:00Z,Digna Johanna,"Schreuder, A", A Schreuder,,,
111,Netherlands,,Dirk en Apolonia,"Barends, Hans", Hans Barends,,,
112,Netherlands,,Dirk en Apolonia,"Barends, Hans", Hans Barends,,,
113,Netherlands,,Dirk en Apolonia,"Barends, Hans", Hans Barends,,,
114,Netherlands,,Dirk en Apolonia,"Barends, Hans", Hans Barends,,,
115,Netherlands,,Dirk en Apolonia,"Barends, Hans", Hans Barends,,,
116,Netherlands,,Dirk en Apolonia,"Bakker, Johannes", Johannes Bakker,,,
117,Netherlands,1748-06-04T00:00:00Z,Dolfijn,"Taylor, David Jacobs", David Jacobs Taylor,,,
118,Netherlands,,Dolfijn,"Taylor, David Jacobs", David Jacobs Taylor,,,
119,Netherlands,,Dolfijn,"Taylor, David Jacobs", David Jacobs Taylor,,,
120,Netherlands,,Dolfijn,"Taylor, David Jacobs", David Jacobs Taylor,,,
121,Netherlands,,Dolfijn,"Taylor, David Jacobs", David Jacobs Taylor,,,
122,Netherlands,,Dolfijn,"Taylor, David Jacobs", David Jacobs Taylor,,,
123,Netherlands,1758-07-20T00:00:00Z,Dolfijn,"Taylor, David Jacobs", David Jacobs Taylor,,,
124,Netherlands,1758-07-20T00:00:00Z,Dolfijn,"Taylor, R J", R J Taylor,,,
125,Netherlands,1758-07-20T00:00:00Z,Dolfijn,"Beekman, Nicolaas", Nicolaas Beekman,,,
126,Netherlands,,Domburg,"Bevers, Anthony", Anthony Bevers,,,
127,Netherlands,1749-02-12T00:00:00Z,Domburg,"Danquart, Willem", Willem Danquart,,,
128,Netherlands,1756-04-17T00:00:00Z,Drie Gezusters,"Stam, Maarten", Maarten Stam,,,
129,Netherlands,,Drie Gezusters,"Santleven, Hendrik", Hendrik Santleven,,,
130,Netherlands,,Drie Gezusters,"Heelen, Hendrik J", Hendrik J Heelen,,,
131,Netherlands,,Drie Gebroeders,"Smit, Leijn de", Leijn de Smit,,,
132,Netherlands,,Drie Gebroeders,"Smit, Leijn de", Leijn de Smit,,,
133,Netherlands,,Drie Gebroeders,"Krul, Jochem", Jochem Krul,,,
134,Netherlands,,Duinvliet,,,,,
135,Netherlands,,Duinvliet,"Lindenberg, Jurriaan", Jurriaan Lindenberg,,,
136,Netherlands,1781-04-19T00:00:00Z,Eendracht,"Udemans, Pieter Gideon", Pieter Gideon Udemans,,,
137,Netherlands,,Eenhoorn,"Walthey, Anthony", Anthony Walthey,,,
138,Netherlands,1762-05-08T00:00:00Z,Enigheid,"Menkenveld, Jan", Jan Menkenveld,,,
139,Netherlands,1764-10-29T00:00:00Z,Enigheid,"Pruijmelaar, Daniel", Daniel Pruijmelaar,,,
140,Netherlands,1767-03-18T00:00:00Z,Enigheid,"Molder, Willem de", Willem de Molder,,,
141,Netherlands,1781-07-02T00:00:00Z,Eensgezindheid,"Baas, Isaac den", Isaac den Baas,,,
142,Netherlands,,Eerste Edele,"Lafayolle, Pieter", Pieter Lafayolle,,,
143,Netherlands,1754-06-24T00:00:00Z,Eerste Edele,"Lafayolle, Pieter", Pieter Lafayolle,,,
144,Netherlands,,Eerste Edele,"Sap, Adriaan", Adriaan Sap,,,
145,Netherlands,,Eerste Edele,"Sap, Adriaan", Adriaan Sap,,,
146,Netherlands,1773-07-25T00:00:00Z,Elisabeth,"Harmel, Jan", Jan Harmel,,,
147,Netherlands,,Elisabeth,"Harmel, Jan", Jan Harmel,,,
148,Netherlands,,Elisabeth,"Jansen, Jurgen", Jurgen Jansen,,,
149,Netherlands,,Elisabeth Sophia,"Bremer, Carel", Carel Bremer,,,
150,Netherlands,1767-07-20T00:00:00Z,Elisabeth Sophia,"Bremer, Carel", Carel Bremer,,,
151,Netherlands,1769-09-27T00:00:00Z,Elisabeth Sophia,"Bremer, Carel", Carel Bremer,,,
152,Netherlands,1791-04-30T00:00:00Z,Elisabeth,"Muller, Daniel", Daniel Muller,,,
153,Netherlands,1785-10-24T00:00:00Z,Epaminondas,"Rudolfus, Servas", Servas Rudolfus,,,
154,Netherlands,,Essequeebse Vriendschap,"Park, Mathijs", Mathijs Park,,,
155,Netherlands,,Françoise en Catharina,"Groot, Michiel de", Michiel de Groot,,,
156,Netherlands,,Frans Willem,"Joosen, Frederik", Frederik Joosen,,,
157,Netherlands,,Frans Willem,"Joosen, Frederik", Frederik Joosen,,,
158,Netherlands,,Frans Willem,"Sluijs, Jan van der", Jan van der Sluijs,,,
159,Netherlands,,Frans Willem,"Sluijs, Jan van der", Jan van der Sluijs,,,
160,Netherlands,1764-04-29T00:00:00Z,Frans Willem,"Sluijs, Jan van der", Jan van der Sluijs,,,
161,Netherlands,,Frans Willem,"Harmel, Jan", Jan Harmel,,,
162,Netherlands,,Prinses Frederica Sophia Wilhelmina,"Smit, Leijn de", Leijn de Smit,,,
163,Netherlands,,Prinses Frederica Sophia Wilhelmina,"Bekker, Fred A", Fred A Bekker,,,
164,Netherlands,,Prinses Frederica Sophia Wilhelmina,"Bekker, Fred A", Fred A Bekker,,,
165,Netherlands,,Geertruid en Elisabeth,"Cornelisse, Simon", Simon Cornelisse,,,
166,Netherlands,1756-03-17T00:00:00Z,Geertruid en Elisabeth,"Cornelisse, Simon", Simon Cornelisse,,,
167,Netherlands,,Geertruid en Elisabeth,"Cornelisse, Simon", Simon Cornelisse,,,
168,Netherlands,,Geertruid en Elisabeth,"Cornelisse, Simon", Simon Cornelisse,,,
169,Netherlands,,Geertruid en Elisabeth,"Deijnoot, Jasper", Jasper Deijnoot,,,
170,Netherlands,,Geertruid en Elisabeth,"Deijnoot, Jasper", Jasper Deijnoot,,,
171,Netherlands,,Geertruida,"Daniels, Abraham", Abraham Daniels,,,
172,Netherlands,,Geertruida,"Castelijn, Johan", Johan Castelijn,,,
173,Netherlands,1759-04-10T00:00:00Z,Geertruida,"Castelijn, Johannes", Johannes Castelijn,,,
174,Netherlands,1761-02-14T00:00:00Z,Geertruida,"Castelijn, Johan", Johan Castelijn,,,
175,Netherlands,,Geertruida,"Boer, Cornelis de", Cornelis de Boer,,,
176,Netherlands,,Geertruida en Christina,"Jacobse, Adriaan", Adriaan Jacobse,,,
177,Netherlands,,Geertruida en Christina,"Drijber, Willem", Willem Drijber,,,
178,Netherlands,1770-10-20T00:00:00Z,Geertruida en Christina,"Bakker, Johannes", Johannes Bakker,,,
179,Netherlands,1772-07-08T00:00:00Z,Geertruida en Christina,"Drijber, Willem", Willem Drijber,,,
180,Netherlands,1775-05-18T00:00:00Z,Geertruida en Christina,"Noordhoek, Johannes", Johannes Noordhoek,,,
181,Netherlands,1777-08-23T00:00:00Z,Geertruida en Christina,"Bakker, Johannes", Johannes Bakker,,,
182,Netherlands,1785-04-29T00:00:00Z,Geertruida en Christina,"Kakom, Cornelis van", Cornelis van Kakom,,,
183,Netherlands,1732-02-12T00:00:00Z,Genoveva Maria,"Cornelissen, J", J Cornelissen,,,
184,Netherlands,,Genoveva Maria,,,,,
185,Netherlands,,Genoveva Maria,,,,,
186,Netherlands,,Genoveva Maria,"Kluijters, Jacob", Jacob Kluijters,,,
187,Netherlands,,Genoveva Maria,,,,,
188,Netherlands,,Genoveva Maria,"Kluijters, Jacob", Jacob Kluijters,,,
189,Netherlands,,Genoveva Maria,"Kluijters, Jacob", Jacob Kluijters,,,
190,Netherlands,,Genoveva Maria,"Kluijters, Jacob", Jacob Kluijters,,,
191,Netherlands,,Genoveva Maria,"Gerritsen, Job", Job Gerritsen,,,
192,Netherlands,,Genoveva Maria,"Gerritsen, Job", Job Gerritsen,,,
193,Netherlands,,Gezegend Suikerriet,"Schrijver, Jan Daniel", Jan Daniel Schrijver,,,
194,Netherlands,,Gezegend Suikerriet,"Bergh, Dirk van den", Dirk van den Bergh,,,
195,Netherlands,,Gezegend Suikerriet,"Rust, Jonas", Jonas Rust,,,
196,Netherlands,,Gezegend Suikerriet,"Rust, Jonas", Jonas Rust,,,
197,Netherlands,,Gezegend Suikerriet,"Rust, Jonas", Jonas Rust,,,
198,Netherlands,,Gezegend Suikerriet,"Lagerboom, Pieter", Pieter Lagerboom,,,
199,Netherlands,,Gezegend Suikerriet,"Lagerboom, Pieter", Pieter Lagerboom,,,
200,Netherlands,,Gezegend Suikerriet,"Lagerboom, Pieter", Pieter Lagerboom,,,
201,Netherlands,1756-02-18T00:00:00Z,Goed Succes,"Westerdaal, Coert", Coert Westerdaal,,,
202,Netherlands,1791-04-23T00:00:00Z,Goed Voornemen,"Tol, Casper", Casper Tol,,,
203,Netherlands,1793-05-23T00:00:00Z,Goed Voornemen,"Tol, Casper", Casper Tol,,,
204,Netherlands,1787-08-10T00:00:00Z,Goede Hoop,"Muijen, Cornelis van", Cornelis van Muijen,,,
205,Netherlands,1790-04-22T00:00:00Z,Goede Hoop,"Muijen, Cornelis van", Cornelis van Muijen,,,
206,Netherlands,,Goede Verwachting,"Steen, Jan van der", Jan van der Steen,,,
207,Netherlands,,Goede Verwachting,"Churchill, Edward", Edward Churchill,,,
208,Netherlands,,Granadier,"Loo, Jan van der", Jan van der Loo,,,
209,Netherlands,,Granadier,"Loo, Jan van der", Jan van der Loo,,,
210,Netherlands,,Granadier,"Jansen, Roelof", Roelof Jansen,,,
211,Netherlands,,Granadier,"Solomons, Jan", Jan Solomons,,,
212,Netherlands,1749-10-10T00:00:00Z,Granadier,"Steenhof, Albert", Albert Steenhof,,,
213,Netherlands,,Granadier,"Kerkhoven, Jan van", Jan van Kerkhoven,,,
214,Netherlands,1787-02-27T00:00:00Z,Stad Groningen,"Tol, Casper", Casper Tol,,,
215,Netherlands,1742-09-14T00:00:00Z,Groot Prooijen,"Jansen, Willem", Willem Jansen,,,
216,Netherlands,1744-08-03T00:00:00Z,Groot Prooijen,"Bonrepo, Gideon de", Gideon de Bonrepo,,,
217,Netherlands,,Groot Prooijen,"Rien, Hendrik van", Hendrik van Rien,,,
218,Netherlands,1741-04-13T00:00:00Z,Guinese Galei,"Bonrepo, Gideon de", Gideon de Bonrepo,,,
219,Netherlands,,Guinese Vrienden,Meijer,Meijer,,,
220,Netherlands,,Guinese Vrienden,"Rulle, A", A Rulle,,,
221,Netherlands,,Guinese Vriendschap,"Grim, Jan", Jan Grim,,,
222,Netherlands,,Guinese Vriendschap,"Grim, Jan", Jan Grim,,,
223,Netherlands,,Guinese Vriendschap,"Grim, Jan", Jan Grim,,,
224,Netherlands,,Guinese Vriendschap,"Grim, Jan", Jan Grim,,,
225,Netherlands,,Guinese Vriendschap,"Grim, Jan", Jan Grim,,,
226,Netherlands,1765-11-23T00:00:00Z,Guinees Welvaren,"Sluijter, Pieter Hermanus", Pieter Hermanus Sluijter,,,
227,Netherlands,,Gulde Vrijheid,"Vallé, Jacob", Jacob Vallé,,,
228,Netherlands,,Gulde Vrijheid,,,,,
229,Netherlands,,Gulde Vrijheid,"Nijsse, Jacob de", Jacob de Nijsse,,,
230,Netherlands,,Gulde Vrijheid,"Nijsse, Jacob de", Jacob de Nijsse,,,
231,Netherlands,,Gulde Vrijheid,"Nijsse, Jacob de", Jacob de Nijsse,,,
232,Netherlands,,Gulde Vrijheid,Hollem,Hollem,,,
233,Netherlands,,Gulde Vrijheid,"Moor, Jan de", Jan de Moor,,,
234,Netherlands,,Gulde Vrijheid,"Moor, Jan de", Jan de Moor,,,
235,Netherlands,,Gulde Vrijheid,"Sterk, Cornelis", Cornelis Sterk,,,
236,Netherlands,,Gulde Vrijheid,"Lins, Gabriel", Gabriel Lins,,,
237,Netherlands,,Gulde Vrijheid,"Hermansz, N", N Hermansz,,,
238,Netherlands,1764-04-11T00:00:00Z,Gulde Vrijheid,"Minnelust, Carel Michiel", Carel Michiel Minnelust,,,
239,Netherlands,1764-04-11T00:00:00Z,Gulde Vrijheid,"Rietveld, Dirk", Dirk Rietveld,,,
240,Netherlands,,Gulde Vrijheid,"Rietveld, Dirk", Dirk Rietveld,,,
241,Netherlands,1767-08-29T00:00:00Z,Gulde Vrijheid,"Rietveld, Dirk", Dirk Rietveld,,,
242,Netherlands,,Gulde Vrijheid,"Rietveld, Dirk", Dirk Rietveld,,,
243,Netherlands,,Gulde Vrijheid,"Rietveld, Dirk", Dirk Rietveld,,,
244,Netherlands,1772-02-12T00:00:00Z,Gulde Vrijheid,"Rietveld, Dirk", Dirk Rietveld,,,
245,Netherlands,,Gulde Vrijheid,"Rietveld, Dirk", Dirk Rietveld,,,
246,Netherlands,,Gulde Vrijheid,"Rietveld, Dirk", Dirk Rietveld,,,
247,Netherlands,,Gulde Vrijheid,"Ketner, Christiaan", Christiaan Ketner,,,
248,Netherlands,1765-07-12T00:00:00Z,Haast U Langzaam,"Menkenveld, Jan", Jan Menkenveld,,,
249,Netherlands,1767-11-18T00:00:00Z,Haast U Langzaam,"Chatelain, Adriaan", Adriaan Chatelain,,,
250,Netherlands,1770-01-14T00:00:00Z,Haast U Langzaam,"Chatelain, Adriaan", Adriaan Chatelain,,,
251,Netherlands,1771-06-27T00:00:00Z,Haast U Langzaam,"Chatelain, Adriaan", Adriaan Chatelain,,,
252,Netherlands,1773-08-20T00:00:00Z,Haast U Langzaam,"Sprang, Jan van", Jan van Sprang,,,
253,Netherlands,1775-12-06T00:00:00Z,Haast U Langzaam,"Kakom, Cornelis van", Cornelis van Kakom,,,
254,Netherlands,1778-01-31T00:00:00Z,Haast U Langzaam,"Kakom, Cornelis van", Cornelis van Kakom,,,
255,Netherlands,1780-06-29T00:00:00Z,Haast U Langzaam,"Kakom, Cornelis van", Cornelis van Kakom,,,
256,Netherlands,,Helena,"Boer, Cornelis den", Cornelis den Boer,,,
257,Netherlands,,Helena,"Boer, Adriaan den", Adriaan den Boer,,,
258,Netherlands,,Hermina Elisabeth,"Dupont, D", D Dupont,,,
259,Netherlands,,Hermina Elisabeth,"Bekker, F", F Bekker,,,
260,Netherlands,,Hermina Elisabeth,"Grim, Jochem", Jochem Grim,,,
261,Netherlands,,Hermina Elisabeth,"Grim, Jochem", Jochem Grim,,,
262,Netherlands,,Herstelder,"Stap, Pieter", Pieter Stap,,,
263,Netherlands,1772-06-01T00:00:00Z,Herstelder,"Stap, Pieter", Pieter Stap,,,
264,Netherlands,1733-04-01T00:00:00Z,Hof van Zeeland,"Moor, Jan de", Jan de Moor,,,
265,Netherlands,1735-01-20T00:00:00Z,Hoop,"Eversen, Huijbrecht", Huijbrecht Eversen,,,
266,Netherlands,1763-03-14T00:00:00Z,Espérance (a) Hoop,"Jacobs, Paulus", Paulus Jacobs,,Espérance , Hoop
267,Netherlands,,Hoop,"Magnus, Carel", Carel Magnus,,,
268,Netherlands,,Hoop,"Dankers, Joost", Joost Dankers,,,
269,Netherlands,1784-12-07T00:00:00Z,Hoop,"Udemans, Pieter Gideon", Pieter Gideon Udemans,,,
270,Netherlands,,Hoop,"Eggers, M", M Eggers,,,
271,Netherlands,,Hougly Galey (a) Hoogland,,,,Hougly Galey , Hoogland
272,Netherlands,1781-02-25T00:00:00Z,Huis van Brandenburg,"Klerk, François de", François de Klerk,,,
273,Netherlands,,Huis ter Mee,"Boer, Cornelis den", Cornelis den Boer,,,
274,Netherlands,,Huis ter Mee,"Boer, Cornelis den", Cornelis den Boer,,,
275,Netherlands,,Huis ter Mee,"Boer, Cornelis den", Cornelis den Boer,,,
276,Netherlands,,Huis ter Mee,"Boer, Cornelis den", Cornelis den Boer,,,
277,Netherlands,,Huis ter Mee,"Forbus, Izaac", Izaac Forbus,,,
278,Netherlands,,Huis ter Mee,"Forbus, Izaac", Izaac Forbus,,,
279,Netherlands,,Huis ter Mee,"Forbus, Izaac", Izaac Forbus,,,
280,Netherlands,,Huis ter Mee,"Forbus, Izaac", Izaac Forbus,,,
281,Netherlands,,Huis ter Mee,"Baas, Isaac den", Isaac den Baas,,,
282,Netherlands,1784-04-24T00:00:00Z,Ida Agatha,"Grim, Jochem", Jochem Grim,,,
283,Netherlands,,Indiaan,"Kaas, Willem", Willem Kaas,,,
284,Netherlands,1762-05-07T00:00:00Z,Jacoba Maria,"Solomi, David", David Solomi,,,
285,Netherlands,,Jacoba Maria,"Solomi, David", David Solomi,,,
286,Netherlands,,Jacoba Maria,"Lamote, Cornelis", Cornelis Lamote,,,
287,Netherlands,,Jan en Elisabeth,"Breen, Hendrik van", Hendrik van Breen,,,
288,Netherlands,,Jan en Elisabeth,"Breen, Hendrik van", Hendrik van Breen,,,
289,Netherlands,,Jan en Elisabeth,"Vos, Jan de", Jan de Vos,,,
290,Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis", Jan Cornelis Baane,,,
291,Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis", Jan Cornelis Baane,,,
292,Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis", Jan Cornelis Baane,,,
293,Netherlands,,Jan en Elisabeth,"Baane, Jan Cornelis", Jan Cornelis Baane,,,
294,Netherlands,,Jan en Elisabeth,"Hollander, J C", J C Hollander,,,
295,Netherlands,,Jan en Elisabeth,"Hollander, J C", J C Hollander,,,
296,Netherlands,,Jan en Elisabeth,"Hollander, J C", J C Hollander,,,
297,Netherlands,,Jan en Elisabeth,"Hollander, Cornelis Andries", Cornelis Andries Hollander,,,
298,Netherlands,,Jan en Elisabeth,"Hollander, J C", J C Hollander,,,
299,Netherlands,,Jan en Jacobus,"Ketner, Christiaan", Christiaan Ketner,,,
300,Netherlands,,Jan en Jacobus,"Ketner, Christiaan", Christiaan Ketner,,,
301,Netherlands,,Jan en Cornelis,"Jansen, Jurgen", Jurgen Jansen,,,
302,Netherlands,,Jan en Cornelis,"Jansen, Jurgen", Jurgen Jansen,,,
303,Netherlands,,Jan en Cornelis,"Jansen, Jurgen", Jurgen Jansen,,,
304,Netherlands,1786-05-06T00:00:00Z,Johanna,"Murk, Pieter", Pieter Murk,,,
305,Netherlands,,Johanna Christina,"Vrijben, L R", L R Vrijben,,,
306,Netherlands,,Johannesburg,"Bruijn, Michiel", Michiel Bruijn,,,
307,Netherlands,,Johannes,"Everse, Hans", Hans Everse,,,
308,Netherlands,,Jonge Cornelis,"Jol, David", David Jol,,,
309,Netherlands,,Jonge Cornelis,"Jol, David", David Jol,,,
310,Netherlands,1790-11-15T00:00:00Z,Jonge Dirk,"Grim, Jochem", Jochem Grim,,,
311,Netherlands,1793-08-27T00:00:00Z,Jonge Dirk,"Grim, Jochem", Jochem Grim,,,
312,Netherlands,,Jonge Hendrik,"Beeter, Jacob", Jacob Beeter,,,
313,Netherlands,,Jonge Hendrik,"Leger, Jan", Jan Leger,,,
314,Netherlands,,Jonge Hendrik,Lagorde,Lagorde,,,
315,Netherlands,1754-10-21T00:00:00Z,Jonge Isaac,"Beekman, Godfried", Godfried Beekman,,,
316,Netherlands,,Jonge Isaac,"Beekman, Godfried", Godfried Beekman,,,
317,Netherlands,,Jonge Isaac,"Beekman, Godfried", Godfried Beekman,,,
318,Netherlands,,Jonge Jacob,"Moeremans, Jan", Jan Moeremans,,,
319,Netherlands,1769-10-29T00:00:00Z,Jonge Jacob,"Molder, Willem de", Willem de Molder,,,
320,Netherlands,1769-10-29T00:00:00Z,Jonge Jacob,"Baas, Isaac den", Isaac den Baas,,,
321,Netherlands,,Jonge Jacob,"Mick, C F", C F Mick,,,
322,Netherlands,,Jonge Jacob,"Mick, C F", C F Mick,,,
323,Netherlands,,Jonge Jacob,"Nap, Claas", Claas Nap,,,
324,Netherlands,,Jonge Jacob,"Nap, Claas", Claas Nap,,,
325,Netherlands,,Jonge Jacob,"Mick, C F", C F Mick,,,
326,Netherlands,,Jonge Jacob,"Nap, Claas", Claas Nap,,,
327,Netherlands,,Jonge Jacob,Havinga,Havinga,,,
328,Netherlands,,Jonge Jan,"Hambeek, Hendrik", Hendrik Hambeek,,,
329,Netherlands,1765-01-17T00:00:00Z,Jonge Jan,"Bevers, Anthony", Anthony Bevers,,,
330,Netherlands,1783-12-17T00:00:00Z,Jonge Jan,"Riems, Jan", Jan Riems,,,
331,Netherlands,1791-10-18T00:00:00Z,Jonge Jan,"Bakker, Dirk", Dirk Bakker,,,
332,Netherlands,,Jonge Johannes,"Zell, Georg Christoff", Georg Christoff Zell,,,
333,Netherlands,,Jonge Johannes,"Zell, Georg Christoff", Georg Christoff Zell,,,
334,Netherlands,,Jonge Lambregt,"Langebeek, Abraham", Abraham Langebeek,,,
335,Netherlands,,Jonge Lambregt,"Langebeek, Abraham", Abraham Langebeek,,,
336,Netherlands,,Jonge Lambregt,"Langebeek, Abraham", Abraham Langebeek,,,
337,Netherlands,,Jonge Lambregt,"Langebeek, Abraham", Abraham Langebeek,,,
338,Netherlands,,Jonge Lambregt,"Smit, Michiel", Michiel Smit,,,
339,Netherlands,1773-07-28T00:00:00Z,Jonge Lambregt,"Bremer, Carel", Carel Bremer,,,
340,Netherlands,,Jonge Lambregt,"Bremer, Carel", Carel Bremer,,,
341,Netherlands,,Jonge Lambregt,"Vervenne, Cornelis", Cornelis Vervenne,,,
342,Netherlands,1767-03-27T00:00:00Z,Jonge Matheus en Catharina,"Pauw, Jan", Jan Pauw,,,
343,Netherlands,,Jonge Pedro,,,,,
344,Netherlands,,Jonge Pedro,,,,,
345,Netherlands,,Jonge Pedro,,,,,
346,Netherlands,,Jonge Pedro,"Vallé, Jacob", Jacob Vallé,,,
347,Netherlands,,Jonge Pedro,"Cannel, Jan", Jan Cannel,,,
348,Netherlands,,Jonge Pieter Galeij,,,,,
349,Netherlands,,Jonge Rombout,"Bevers, Anthony", Anthony Bevers,,,
350,Netherlands,,Jonge Rombout,"Bevers, Anthony", Anthony Bevers,,,
351,Netherlands,,Jonge Rombout,"Bevers, Anthony", Anthony Bevers,,,
352,Netherlands,,Jonge Rombout,"Bevers, Anthony", Anthony Bevers,,,
353,Netherlands,,Jonge Ruiter,"Klerk, Isaac de", Isaac de Klerk,,,
354,Netherlands,,Jonge Ruiter,"Klerk, Isaac de", Isaac de Klerk,,,
355,Netherlands,1769-07-28T00:00:00Z,Jonge Ruiter,"Klerk, Isaac de", Isaac de Klerk,,,
356,Netherlands,,Jonge Ruiter,"Klerk, Isaac de", Isaac de Klerk,,,
357,Netherlands,1772-09-10T00:00:00Z,Jonge Ruiter,"Klerk, Isaac de", Isaac de Klerk,,,
358,Netherlands,,Jonge Ruiter,"Klerk, Isaac de", Isaac de Klerk,,,
359,Netherlands,,Jonge Ruiter,"Klerk, Isaac de", Isaac de Klerk,,,
360,Netherlands,,Jonge Samuel,"Hollander, Cornelis Andries", Cornelis Andries Hollander,,,
361,Netherlands,,Jonge Samuel,"Hollander, Cornelis Andries", Cornelis Andries Hollander,,,
362,Netherlands,,Jonge Samuel,"Oorbaan, Willem", Willem Oorbaan,,,
363,Netherlands,,Jonge Samuel,"Harmensz, G", G Harmensz,,,
364,Netherlands,,Jonge Samuel,"Klerk, François de", François de Klerk,,,
365,Netherlands,1778-07-06T00:00:00Z,Jonge Samuel,"Klerk, François de", François de Klerk,,,
366,Netherlands,,Jonge Stam,"Hollander, Cornelis Andries", Cornelis Andries Hollander,,,
367,Netherlands,,Jonge Stam,"Hollander, Cornelis Andries", Cornelis Andries Hollander,,,
368,Netherlands,1770-05-02T00:00:00Z,Jonge Willem,"Noordhoek, Johannes", Johannes Noordhoek,,,
369,Netherlands,,Jonge Willem,"Noordhoek, Johannes", Johannes Noordhoek,,,
370,Netherlands,,Jonge Willem,"Noordhoek, Johannes", Johannes Noordhoek,,,
371,Netherlands,,Jonge Willem,"Loef, Cornelis", Cornelis Loef,,,
372,Netherlands,,Jonge Willem,"Loef, Cornelis", Cornelis Loef,,,
373,Netherlands,,Jonge Willem,"Lagay, Pieter", Pieter Lagay,,,
374,Netherlands,,Keenenburg,"Bruijn, Jan de", Jan de Bruijn,,,
375,Netherlands,1771-04-03T00:00:00Z,Keenenburg,"Bruijn, Jan de", Jan de Bruijn,,,
376,Netherlands,1773-06-07T00:00:00Z,Keenenburg,"Bruijn, Jan de", Jan de Bruijn,,,
377,Netherlands,1776-02-14T00:00:00Z,Keenenburg,"Bruijn, Jan de", Jan de Bruijn,,,
378,Netherlands,,Kroonprins van Pruisen,"Meester, Hendrik", Hendrik Meester,,,
379,Netherlands,,Laarenburg,"Noels, Andries", Andries Noels,,,
380,Netherlands,,Laarenburg,"Noels, Andries", Andries Noels,,,
381,Netherlands,,Lammerenburg,"Vleeshouwer, Michiel", Michiel Vleeshouwer,,,
382,Netherlands,,Lammerenburg,"Vleeshouwer, Michiel", Michiel Vleeshouwer,,,
383,Netherlands,,Lammerenburg,"Vleeshouwer, Michiel", Michiel Vleeshouwer,,,
384,Netherlands,,Lammerenburg,"Jansen, Jan", Jan Jansen,,,
